"Name","URL"
"CNN","http://rss.cnn.com/rss/cnn_topstories.rss"
"The New York Times","http://rss.nytimes.com/services/xml/rss/nyt/Politics.xml"
"The Washington Post","http://feeds.washingtonpost.com/rss/rss_federal-eye"
"The Wall Street Journal","http://online.wsj.com/xml/rss/3_7085.xml"
"Fox News","http://feeds.foxnews.com/foxnews/politics"
"NBC News","http://feeds.nbcnews.com/feeds/topstories"
"Politico","http://www.politico.com/rss/politicopicks.xml"
"The Los Angeles Times","http://www.latimes.com/nation/politics/rss2.0.xml"
"The Huffington Post","http://www.huffingtonpost.com/feeds/verticals/politics/index.xml"
"BBC","http://feeds.bbci.co.uk/news/world/rss.xml"
"Al Jazeera America","http://america.aljazeera.com/content/ajam/articles.rss"
"The Daily Beast","http://feeds.feedburner.com/thedailybeast/articles"
"NPR","http://www.npr.org/rss/rss.php?id=1014"
"Reuters","http://feeds.reuters.com/reuters/topNews"
"Associated Press","http://hosted.ap.org/lineups/USHEADS-rss_2.0.xml?SITE=SCAND&SECTION=HOME"
"Daily Kos","http://feeds.dailykos.com/dailykos/index.xml"
"Drudge Report","http://drudgereportfeed.com/rss.xml"
